id,name,year,api_pitch_group,team_name,bat_side_formatted,miss_distance,flawed_percent,perfect_percent,tied_up_percent,avg_x_tied_up,centered_percent,flailed_percent,avg_x_flail,early_percent,avg_y_early,on_time_percent,late_percent,avg_y_late,n_swings,whiff_rate,competitive_percent,over_percent,avg_z_over,lined_up_percent,under_percent,avg_z_under,window_start,window_end,window_num
650489,Willi Castro,2023,FF,Twins,S,0.80103852,0,0,0,,0.6666666666666666,0.3333333333333333,4.43165886408878,0,,0.8333333333333334,0.16666666666666666,-7.070454301320553,6,0.16666666666666666,1,0,,0,1,2.925079059047176,2023-07-01,2023-07-14,14
655316,Andruw Monasterio,2023,FF,Brewers,R,0.577123844,0.16666666666666666,0.16666666666666666,0,,0.5,0.5,5.482663980059079,0,,0.6666666666666666,0.3333333333333333,-14.118361276703993,6,0.5,1,0,,0.3333333333333333,0.6666666666666666,3.163242947057278,2023-07-01,2023-07-14,14
660271,Shohei Ohtani,2023,FF,Angels,L,0.1,0,0,0,,1,0,,0,,0.5,0.5,-7.668556741527688,6,0.3333333333333333,1,0,,0.5,0.5,2.8508242287453007,2023-07-01,2023-07-14,14
543760,Marcus Semien,2023,FF,Rangers,R,,0,0.5,0,,1,0,,0,,0.6666666666666666,0.3333333333333333,-7.786386270531517,6,0,1,0,,0.6666666666666666,0.3333333333333333,2.244895863254567,2023-07-01,2023-07-14,14
676724,Jared Young,2023,FF,Cubs,L,,0.16666666666666666,0.16666666666666666,0.16666666666666666,-8.50270060027216,0.5,0.3333333333333333,4.876044188773337,0,,0.6666666666666666,0.3333333333333333,-8.590456165698601,6,0.3333333333333333,0.8333333333333334,0,,0.5,0.5,2.7571280295146656,2023-07-01,2023-07-14,14
643446,Jeff McNeil,2023,FF,Mets,L,,0,0,0,,1,0,,0,,0.8,0.2,-14.787001784274926,5,0.2,1,0,,0,1,2.905140161631346,2023-07-01,2023-07-14,14
669707,Jared Triolo,2023,CU,Pirates,R,2.149727148,0.2,0,0,,0.4,0.6,7.46943761374347,0.6,8.70377098273587,0.4,0,,5,0.2,0.8,0,,0.2,0.8,2.8514401898404524,2023-07-01,2023-07-14,14
500743,Miguel Rojas,2023,FF,Dodgers,R,,0,0.4,0.2,-5.542334183545176,0.8,0,,0,,0.8,0.2,-7.300155869848949,5,0,1,0,,0.6,0.4,2.231874673930518,2023-07-01,2023-07-14,14
660688,Keibert Ruiz,2023,FF,Nationals,L,0.38266668,0,0.2,0.2,-4.719695106700517,0.8,0,,0,,1,0,,5,0.2,1,0,,0.6,0.4,2.9511441616214573,2023-07-01,2023-07-14,14
543807,George Springer,2023,FF,Blue Jays,R,,0,0.4,0.2,-4.8591556700587795,0.6,0.2,5.5757618571557295,0.2,7.112624364360408,0.4,0.4,-8.64515382161911,5,0.2,1,0.2,-2.3558770758450995,0.6,0.2,2.802797541562691,2023-07-01,2023-07-14,14
676801,Chas McCormick,2023,FF,Astros,R,0.731234712,0.2,0.4,0.2,-4.080805032144145,0.8,0,,0,,0.8,0.2,-10.228809285722972,5,0.4,1,0,,0.4,0.6,2.8148869381191313,2023-07-01,2023-07-14,14
676609,José Caballero,2023,FF,Mariners,R,0.20197572,0,0,0.6,-5.7014029306763865,0.4,0,,0.2,7.552217395678955,0.6,0.2,-13.292513131656992,5,0.2,1,0,,0.8,0.2,3.2535122353892922,2023-07-01,2023-07-14,14
543305,Aaron Hicks,2023,CH,Orioles,L,,0,0.2,0,,0.4,0.6,5.696214890446044,0.6,11.062490706000398,0.4,0,,5,0.2,1,0.2,-2.0151452107886243,0.6,0.2,3.0987123064711803,2023-07-01,2023-07-14,14
650402,Gleyber Torres,2023,CU,Yankees,R,1.138927248,0.2,0.2,0,,0.8,0.2,5.989884952669694,0.4,9.488083763020374,0.6,0,,5,0.2,1,0.4,-2.798385415105272,0.6,0,,2023-07-01,2023-07-14,14
646240,Rafael Devers,2023,FF,Red Sox,L,2.663665746,0.2,0.4,0,,0.8,0.2,9.97196079297434,0,,0.8,0.2,-15.637629747833213,5,0.4,0.8,0,,0.6,0.4,5.616987186664216,2023-07-01,2023-07-14,14
645277,Ozzie Albies,2023,FF,Braves,L,0.1,0,0.6,0,,1,0,,0.2,7.486512667717385,0.8,0,,5,0.2,1,0,,0.8,0.2,2.633022633877733,2023-07-01,2023-07-14,14
662139,Daulton Varsho,2023,FF,Blue Jays,L,,0,0,0,,1,0,,0,,0.8,0.2,-7.239127808483962,5,0,1,0,,0.8,0.2,2.08211370007512,2023-07-01,2023-07-14,14
643289,Mauricio Dubón,2023,CU,Astros,R,,0,0.2,0,,0.6,0.4,5.260071131799439,0.6,8.10246386238169,0.4,0,,5,0,0.8,0,,0.8,0.2,2.7247342433331347,2023-07-01,2023-07-14,14
543068,C.J. Cron,2023,CU,Rockies,R,9.6289063,0.4,0,0.2,-7.548752308120921,0.4,0.4,18.40501213859555,0.8,11.697191291936358,0,0.2,-8.637933836977425,5,0.6,0.4,0.6,-5.29605960352491,0.4,0,,2023-07-01,2023-07-14,14
677594,Julio Rodríguez,2023,FF,Mariners,R,1.455100992,0,0.6,0.2,-4.7888164819224315,0.6,0.2,4.976367088605674,0,,1,0,,5,0.2,1,0,,0.8,0.2,4.470389037918741,2023-07-01,2023-07-14,14
678662,Ezequiel Tovar,2023,CU,Rockies,R,7.367348055,0.4,0,0.2,-17.175885754659312,0,0.8,11.139546927862028,0.8,16.764899552830872,0.2,0,,5,0.8,0.6,0.6,-7.016775437541066,0.4,0,,2023-07-01,2023-07-14,14
642715,Willy Adames,2023,FF,Brewers,R,7.58205354,0,0.2,0.6,-6.599316436061332,0.2,0.2,4.301220294945459,0,,0.8,0.2,-14.775718369426254,5,0.2,0.6,0.4,-5.522613816986377,0.6,0,,2023-07-01,2023-07-14,14
664702,Myles Straw,2023,FF,Guardians,R,1.538104746,0.2,0.4,0,,0.8,0.2,11.05621165691942,0,,0.6,0.4,-10.455335970136991,5,0.4,1,0,,0.4,0.6,4.155929402494452,2023-07-01,2023-07-14,14
